City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Hay River,60.8156,-115.7999,85.98,32,75,6.91,CA,1660851476
Iquique,-20.2208,-70.1431,62.64,73,19,8.19,CL,1660851238
Oranjemund,-28.55,16.4333,54.12,88,2,15.23,NA,1660851481
Ushuaia,-54.8,-68.3,42.46,61,75,5.75,AR,1660851483
Jamestown,42.097,-79.2353,79.95,45,75,6.91,US,1660851309
Wakkanai,45.4094,141.6739,64.22,82,0,14.52,JP,1660851488
Arraial do Cabo,-22.9661,-42.0278,82.26,51,0,25.32,BR,1660851491
Yumen,40.2833,97.2,66.99,26,0,4.97,CN,1660851493
Mount Isa,-20.7333,139.5,63.81,17,11,10.45,AU,1660851496
Suffolk,40.8668,-72.7996,85.91,52,0,11.5,US,1660851498
Hobart,-42.8794,147.3294,46.26,80,76,13.8,AU,1660851371
Dalvik,65.9702,-18.5286,53.53,80,100,6.8,IS,1660851503
Whitehorse,60.7161,-135.0538,64.09,47,75,12.66,CA,1660851505
Puerto del Rosario,28.5004,-13.8627,74.95,73,0,18.41,ES,1660851508
Nuevo Progreso,23.1667,-97.95,97.54,40,1,8.99,MX,1660851510
Mar del Plata,-38.0023,-57.5575,50.95,61,40,20.0,AR,1660851459
Luanda,-8.8368,13.2343,71.6,78,5,8.05,AO,1660851281
Barrow,71.2906,-156.7887,35.62,100,100,23.02,US,1660851517
Fare,-16.7,-151.0167,78.26,77,25,22.62,PF,1660851519
Lüderitz,-26.6481,15.1594,55.81,74,5,23.17,NA,1660851522
Departamento de Maldonado,-34.6667,-54.9167,49.39,67,61,17.47,UY,1660851524
Yellowknife,62.456,-114.3525,70.32,68,75,19.57,CA,1660851259
Labuhan,-6.8844,112.2051,76.46,86,53,7.92,ID,1660851529
Magistral'nyy,56.1725,107.4458,46.35,90,95,6.06,RU,1660851531
Puerto Ayora,-0.7393,-90.3518,76.96,90,87,5.99,EC,1660851534
Hithadhoo,-0.6,73.0833,81.45,78,100,13.2,MV,1660851536
Ondjiva,-17.0667,15.7333,67.6,14,3,5.41,AO,1660851539
Vaini,-21.2,-175.2,71.76,78,40,12.66,TO,1660851541
Erenhot,43.6475,111.9767,57.11,67,0,9.04,CN,1660851543
Busselton,-33.65,115.3333,56.32,78,98,8.81,AU,1660851546
Miles City,46.4083,-105.8406,85.17,28,0,11.5,US,1660851549
Mahébourg,-20.4081,57.7,70.25,78,20,6.91,MU,1660851552
Bredasdorp,-34.5322,20.0403,53.53,88,100,8.37,ZA,1660851554
Nanortalik,60.1432,-45.2371,41.79,74,1,14.47,GL,1660851557
Cherskiy,68.75,161.3,54.61,43,90,13.06,RU,1660851559
‘Āhuimanu,21.4447,-157.8378,85.71,72,75,11.5,US,1660851562
Enid,36.3956,-97.8784,87.48,34,20,13.8,US,1660851564
Río Gallegos,-51.6226,-69.2181,42.85,61,0,5.75,AR,1660851567
Bluff,-46.6,168.3333,48.18,94,6,9.22,NZ,1660851569
São Lourenço do Oeste,-26.3592,-52.8511,48.58,74,100,10.8,BR,1660851572
Kapaa,22.0752,-159.319,85.12,72,20,9.22,US,1660851519
Ca Mau,9.1769,105.15,79.2,82,100,4.54,VN,1660851577
George Town,5.4112,100.3354,79.9,86,20,2.3,MY,1660851579
Savalou,7.9281,1.9756,79.11,70,100,0.94,BJ,1660851582
St. George's,12.0564,-61.7485,87.48,66,20,10.27,GD,1660851584
Bo Rai,12.5728,102.5371,81.73,94,97,1.61,TH,1660851587
Punta Arenas,-53.15,-70.9167,44.71,65,100,13.8,CL,1660851446
Havøysund,70.9963,24.6622,52.03,71,46,9.78,NO,1660851591
Dikson,73.5069,80.5464,41.02,86,100,13.44,RU,1660851594
Thinadhoo,0.5333,72.9333,81.81,77,100,10.8,MV,1660851596
Pangnirtung,66.1451,-65.7125,42.8,87,75,9.22,CA,1660851599
Albany,42.6001,-73.9662,79.57,57,100,1.99,US,1660851307
Qaanaaq,77.484,-69.3632,37.44,98,100,2.51,GL,1660851603
Horsham,51.064,-0.3272,72.01,73,0,6.91,GB,1660851606
Mataura,-46.1927,168.8643,45.84,98,57,2.89,NZ,1660851609
Chapais,49.7834,-74.8492,76.78,34,100,4.16,CA,1660851612
Meulaboh,4.1363,96.1285,76.93,89,75,4.61,ID,1660851614
Butaritari,3.0707,172.7902,81.19,67,90,8.77,KI,1660851617
Grand Gaube,-20.0064,57.6608,70.38,75,0,1.99,MU,1660851619
Atuona,-9.8,-139.0333,77.25,73,1,22.62,PF,1660851622
Longyearbyen,78.2186,15.6401,44.44,70,75,24.16,SJ,1660851624
Ponta do Sol,32.6667,-17.1,74.03,53,57,4.88,PT,1660851627
Watertown,42.3709,-71.1828,84.51,39,100,14.0,US,1660851629
Nikolskoye,59.7035,30.7861,72.91,64,97,4.88,RU,1660851632
Sobolevo,54.4299,31.8996,66.18,73,0,6.8,RU,1660851634
Chokurdakh,70.6333,147.9167,53.1,72,100,10.51,RU,1660851636
Omboué,-1.5746,9.2618,73.63,87,27,8.72,GA,1660851640
Lodwar,3.1191,35.5973,85.14,37,12,8.68,KE,1660851642
Cowansville,45.2001,-72.7491,70.95,72,100,6.91,CA,1660851380
Kalmunai,7.4167,81.8167,77.14,85,96,9.51,LK,1660851646
Saskylakh,71.9167,114.0833,36.64,88,100,13.69,RU,1660851377
Avarua,-21.2078,-159.775,73.45,64,91,4.61,CK,1660851651
Puerto Escondido,15.85,-97.0667,85.17,73,99,7.18,MX,1660851653
Severo-Kuril'sk,50.6789,156.125,55.89,93,65,4.5,RU,1660851656
Tuktoyaktuk,69.4541,-133.0374,44.6,93,100,29.93,CA,1660851658
Lampang,18.3333,99.5,73.35,96,92,1.72,TH,1660851661
Port Alfred,-33.5906,26.891,56.17,95,93,1.99,ZA,1660851663
Cape Town,-33.9258,18.4232,57.61,78,75,12.66,ZA,1660851400
Fort Nelson,58.8053,-122.7002,76.59,50,20,5.75,CA,1660851668
Bethel,41.3712,-73.414,86.85,44,40,14.97,US,1660851670
Kaitangata,-46.2817,169.8464,46.51,96,10,4.29,NZ,1660851673
Palmer,42.1584,-72.3287,84.2,44,75,4.61,US,1660851605
San Nicolas,18.1725,120.5953,76.71,91,100,6.46,PH,1660851677
Lebu,-37.6167,-73.65,50.94,72,7,16.31,CL,1660851680
Gland,46.4208,6.2701,67.98,89,100,1.5,CH,1660851399
Oktyabr'skoye,43.0645,44.7417,75.34,60,75,11.18,RU,1660851685
Rotifunk,8.2333,-12.6833,73.85,95,69,3.53,SL,1660851687
Manono,-7.3,27.4167,78.04,27,7,3.87,CD,1660851690
Guerrero Negro,27.9769,-114.0611,81.86,55,91,13.53,MX,1660851692
Verkhnyaya Inta,65.9811,60.3094,54.64,57,89,12.41,RU,1660851695
Hermanus,-34.4187,19.2345,53.8,81,100,8.08,ZA,1660851697
Tasiilaq,65.6145,-37.6368,50.16,70,90,3.04,GL,1660851700
Hurghada,27.2574,33.8129,91.44,22,0,5.75,EG,1660851702
Saint-Philippe,-21.3585,55.7679,67.21,82,36,12.55,RE,1660851704
Usinsk,65.9939,57.5281,58.19,69,99,11.97,RU,1660851707
Turukhansk,65.8167,87.9833,44.02,77,7,9.98,RU,1660851709
Rikitea,-23.1203,-134.9692,73.78,72,99,18.25,PF,1660851509
Chaozhou,23.6651,116.6379,80.46,91,79,3.51,CN,1660851714
Ulaangom,49.9811,92.0667,51.33,55,59,4.97,MN,1660851716
Brae,60.3964,-1.353,55.89,95,86,12.46,GB,1660851719
Yar-Sale,66.8333,70.8333,49.06,80,100,7.07,RU,1660851721
Almaznyy,48.0448,40.045,76.95,51,83,3.96,RU,1660851724
Al Bardīyah,31.7561,25.0865,79.68,76,0,11.01,LY,1660851726
Salalah,17.0151,54.0924,77.09,94,100,4.61,OM,1660851729
Yacuiba,-22.038,-63.6797,63.37,55,0,17.27,BO,1660851731
Bambous Virieux,-20.3428,57.7575,70.21,78,20,6.91,MU,1660851734
Tamandaré,-8.7597,-35.1047,75.69,69,0,10.04,BR,1660851736
Athabasca,54.7169,-113.2854,79.21,43,2,7.74,CA,1660851650
Aldan,58.6031,125.3894,44.49,97,60,5.39,RU,1660851741
Romny,50.751,33.4747,67.75,64,2,9.46,UA,1660851744
Sheltozero,61.3667,35.3667,67.28,76,0,7.36,RU,1660851746
Vila Velha,-20.3297,-40.2925,80.55,72,40,16.11,BR,1660851749
Bodmin,50.4715,-4.7243,65.84,100,75,14.97,GB,1660851751
Itarema,-2.9248,-39.9167,80.33,69,100,17.31,BR,1660851754
Agadir,30.4202,-9.5982,72.05,71,2,4.18,MA,1660851756
Byron Bay,-28.65,153.6167,52.72,70,1,5.08,AU,1660851759
Warragul,-38.1667,145.9333,48.04,87,76,4.05,AU,1660851761
Rabo de Peixe,37.8,-25.5833,71.11,64,40,11.5,PT,1660851764
Jacksonville,30.3322,-81.6556,87.8,85,75,25.32,US,1660851545
Pisco,-13.7,-76.2167,66.02,72,28,10.36,PE,1660851768
Sairang,23.8,92.6667,74.84,99,86,1.88,IN,1660851771
Dunedin,-45.8742,170.5036,52.81,83,37,4.23,NZ,1660851602
Bixby,35.942,-95.8833,86.09,57,75,5.75,US,1660851661
Nador,35.174,-2.9287,80.67,69,0,4.61,MA,1660851777
San Luis Río Colorado,32.4631,-114.7767,102.25,34,100,8.75,MX,1660851780
Pozo Colorado,-23.4923,-58.7972,68.0,26,0,10.85,PY,1660851782
Katsuura,35.1333,140.3,75.87,87,5,13.33,JP,1660851785
Airai,-8.9266,125.4092,51.53,49,61,2.82,TL,1660851787
Durrës,41.3231,19.4414,75.38,61,0,5.93,AL,1660851790
Saldanha,-33.0117,17.9442,55.45,78,92,17.16,ZA,1660851793
Tiksi,71.6872,128.8694,41.27,95,100,11.86,RU,1660851795
Bouna,9.2667,-3.0,76.91,68,8,4.21,CI,1660851797
Hong Kong,22.2855,114.1577,83.32,88,98,5.01,HK,1660851558
Thompson,55.7435,-97.8558,73.56,60,75,10.36,CA,1660851802
Vitim,59.4511,112.5578,50.25,96,100,8.34,RU,1660851804
Vardø,70.3705,31.1107,49.98,87,0,4.61,NO,1660851807
Kamenka,51.3223,42.7678,71.22,50,100,21.81,RU,1660851810
Châteauroux,46.8167,1.7,71.6,53,0,4.61,FR,1660851724
Hobyo,5.3505,48.5268,76.71,83,100,26.4,SO,1660851814
Port Macquarie,-31.4333,152.9167,43.9,75,6,4.5,AU,1660851743
Saint Paul Harbor,57.79,-152.4072,54.91,76,100,4.61,US,1660851689
Port-Gentil,-0.7193,8.7815,76.96,78,100,9.22,GA,1660851821
Bull Savanna,17.8868,-77.5902,83.98,65,60,4.38,JM,1660851824
Jumla,29.2747,82.1838,62.13,95,44,0.22,NP,1660851595
Sørland,67.667,12.6934,55.26,78,100,15.5,NO,1660851829
Cabo San Lucas,22.8909,-109.9124,89.19,70,40,13.8,MX,1660864175
Sabang,5.8933,95.3214,82.53,75,100,11.83,ID,1660864323
Souillac,-20.5167,57.5167,69.03,82,1,10.16,MU,1660864326
Cuencamé de Ceniceros,24.8711,-103.6964,86.04,28,99,8.79,MX,1660864328
Sambava,-14.2667,50.1667,70.12,88,95,8.84,MG,1660864330
Glenwood Springs,39.5505,-107.3248,92.88,23,40,0.0,US,1660864219
Ilulissat,69.2167,-51.1,41.02,81,75,3.44,GL,1660864335
New Norfolk,-42.7826,147.0587,49.91,80,52,1.99,AU,1660864337
Port Lincoln,-34.7333,135.8667,54.3,72,16,13.49,AU,1660864340
Verāval,20.9,70.3667,79.14,88,67,15.86,IN,1660864342
Clyde River,70.4692,-68.5914,44.76,69,95,6.64,CA,1660864345
Goderich,43.7501,-81.7165,75.9,57,1,0.96,CA,1660864206
Ostrovnoy,68.0531,39.5131,50.2,91,100,7.67,RU,1660864349
Northam,51.0333,-4.2167,65.39,98,99,12.44,GB,1660864352
Husavik,66.0449,-17.3389,49.71,90,100,5.35,IS,1660864354
Macamic,48.7502,-78.9996,70.92,58,100,2.28,CA,1660864357
Faanui,-16.4833,-151.75,79.09,77,14,20.18,PF,1660864359
Sabha,27.0377,14.4283,88.48,21,0,10.22,LY,1660864362
San Rafael,-34.6177,-68.3301,53.08,26,0,8.16,AR,1660864237
Haines Junction,60.7522,-137.5108,59.97,57,100,7.4,CA,1660864366
Iqaluit,63.7506,-68.5145,37.13,100,100,8.05,CA,1660864369
Tromsø,69.6496,18.957,46.42,76,0,1.01,NO,1660864371
Itapirapuã,-15.8233,-50.6133,82.74,27,1,1.28,BR,1660864374
Kahului,20.8947,-156.47,91.42,49,40,20.71,US,1660864376
Saint-Joseph,-21.3667,55.6167,66.58,77,17,7.11,RE,1660864378
Kudahuvadhoo,2.6708,72.8944,81.68,75,100,4.9,MV,1660864381
Hasaki,35.7333,140.8333,79.2,69,33,10.02,JP,1660864383
Grindavik,63.8424,-22.4338,50.47,87,75,12.66,IS,1660864386
Puerto Carreño,6.189,-67.4859,81.01,77,62,6.31,CO,1660864388
Nanyang,32.9947,112.5328,84.31,62,100,2.91,CN,1660864391
Yangi Marg`ilon,40.4272,71.7189,70.52,37,0,4.61,UZ,1660864393
Badvel,14.75,79.05,81.48,69,100,14.54,IN,1660864396
Mogadishu,2.0371,45.3438,75.6,88,50,15.64,SO,1660864398
Uray,60.1247,64.7758,47.07,92,94,6.2,RU,1660864401
Cap-aux-Meules,47.3821,-61.8597,69.17,81,18,20.2,CA,1660864403
Upernavik,72.7868,-56.1549,40.24,90,100,0.31,GL,1660864405
Mehamn,71.0357,27.8492,49.95,71,12,13.8,NO,1660864408
Batemans Bay,-35.7167,150.1833,53.1,63,100,8.01,AU,1660864410
Vestmannaeyjar,63.4427,-20.2734,50.25,83,100,10.45,IS,1660864413
Urambo,-5.0667,32.05,75.76,32,93,3.85,TZ,1660864415
Heraclea,37.5133,34.0467,71.44,36,0,3.85,TR,1660864418
Kachug,53.9606,105.8817,44.6,94,85,3.53,RU,1660864420
Port Hawkesbury,45.6169,-61.3485,69.62,88,45,4.0,CA,1660864423
Leshukonskoye,64.8989,45.7622,62.74,77,19,5.03,RU,1660864425
San Patricio,28.017,-97.5169,94.17,55,97,15.68,US,1660864428
Jiazi,22.8779,116.067,81.27,83,88,8.41,CN,1660864430
Atbasar,51.8,68.3333,46.71,69,57,9.48,KZ,1660864432
Richards Bay,-28.783,32.0377,63.5,72,9,7.87,ZA,1660864435
Cody,44.5263,-109.0565,88.92,28,0,9.22,US,1660864278
Kavieng,-2.5744,150.7967,82.71,74,67,8.57,PG,1660864440
Kirakira,-10.4544,161.9205,83.82,67,19,6.29,SB,1660864442
Eureka,40.8021,-124.1637,71.2,83,68,4.0,US,1660864274
Naze,28.3667,129.4833,81.97,80,95,14.07,JP,1660864447
Batangafo,7.3008,18.2833,69.58,96,100,3.96,CF,1660864450
San Juan,-31.5375,-68.5364,55.49,18,0,5.66,AR,1660864424
Dali,25.7,100.1833,63.34,90,65,3.94,CN,1660864455
Ilave,-16.0833,-69.6667,40.1,25,1,6.2,PE,1660864457
Hamilton,39.1834,-84.5333,82.9,55,75,9.22,US,1660864460
Poum,-20.2333,164.0167,69.08,60,0,8.57,NC,1660864462
Marsaxlokk,35.8419,14.5431,86.07,74,0,8.05,MT,1660864464
Padang,-0.9492,100.3543,76.71,86,49,4.47,ID,1660864467
Muhafazat Lahij,13.1667,44.5833,86.92,54,31,1.28,YE,1660864470
Pevek,69.7008,170.3133,40.89,72,0,1.59,RU,1660864472
Shihezi,44.3,86.0333,67.17,22,0,5.86,CN,1660864475
Kargasok,59.0556,80.8572,51.76,77,100,11.07,RU,1660864477
Vernon,50.2581,-119.2691,100.13,25,65,3.44,CA,1660864480
Amapá,1.0,-52.0,78.91,69,95,4.63,BR,1660864482
Zemio,5.0314,25.1361,66.7,98,80,2.84,CF,1660864281
Camden,39.7835,-74.9663,84.15,48,28,1.99,US,1660864487
Coahuayana Viejo,18.7333,-103.6833,86.92,66,93,5.91,MX,1660864489
Kruisfontein,-34.0033,24.7314,53.89,91,12,6.04,ZA,1660864492
Yerbogachën,61.2767,108.0108,49.26,98,100,2.64,RU,1660864494
Caravelas,-17.7125,-39.2481,72.12,77,0,10.67,BR,1660864497
Grand Island,40.925,-98.342,82.69,61,40,6.91,US,1660864490
Praia,14.9215,-23.5087,79.34,78,75,11.5,CV,1660864502
East London,-33.0153,27.9116,61.56,72,89,17.4,ZA,1660864504
Micheweni,-4.9667,39.8333,73.81,80,3,9.91,TZ,1660864507
Bengkulu,-3.8004,102.2655,73.99,86,11,4.05,ID,1660864420
Maniitsoq,65.4167,-52.9,42.35,79,20,11.72,GL,1660864511
Rumphi,-11.0186,33.8575,62.64,64,12,4.12,MW,1660864514
Fukuechō,32.6881,128.8419,82.76,94,75,3.44,JP,1660864516
Sambir,49.5183,23.1975,62.87,88,8,5.28,UA,1660864519
Tuatapere,-46.1333,167.6833,51.94,84,29,4.63,NZ,1660864521
Zhezkazgan,47.8043,67.7144,58.89,36,31,15.86,KZ,1660864524
Verkhovazh'ye,60.7472,42.0465,61.07,81,3,4.07,RU,1660864526
Japura,-0.3167,102.35,72.46,97,16,2.39,ID,1660864529
Bayburt,40.2589,40.2278,58.64,90,6,1.5,TR,1660864531
Narsaq,60.9167,-46.05,48.42,56,0,4.56,GL,1660864534
Beatrice,40.2681,-96.747,87.89,40,0,11.5,US,1660864536
Los Altos,37.3852,-122.1141,97.32,49,0,18.41,US,1660864539
Mahajanga,-15.7167,46.3167,69.85,69,12,5.3,MG,1660864541
São João da Barra,-21.6403,-41.0511,73.11,73,35,29.84,BR,1660864543
Castro,-24.7911,-50.0119,54.79,97,100,5.86,BR,1660864546
Inírida,3.8653,-67.9239,78.57,81,73,1.21,CO,1660864548
Namatanai,-3.6667,152.4333,82.2,73,62,4.85,PG,1660864551
Port Elizabeth,-33.918,25.5701,57.31,91,40,3.44,ZA,1660864553
Ziro,27.6333,93.8333,59.36,96,100,1.1,IN,1660864556
Chui,-33.6971,-53.4616,43.86,73,12,11.05,UY,1660864558
Muisne,0.6,-80.0333,74.48,87,100,11.12,EC,1660864561
Poykovskiy,61.2333,73.3333,53.89,87,100,11.18,RU,1660864564
Bac Lieu,9.285,105.7244,78.82,85,96,7.85,VN,1660864566
Taksimo,56.3444,114.8794,50.41,84,100,2.01,RU,1660864569
Nemuro,43.3236,145.575,63.14,96,100,30.74,JP,1660864571
Lorengau,-2.0226,147.2712,82.96,73,29,7.27,PG,1660864574
Marabu,4.4148,114.0089,75.34,88,20,3.44,MY,1660864576
Mandalgovi,45.7625,106.2708,51.98,77,0,9.69,MN,1660864579
Ballina,-28.8667,153.5667,65.79,49,1,5.73,AU,1660864394
Dedza,-14.3779,34.3332,58.77,44,5,2.93,MW,1660864584
Daultala,33.1925,73.1413,78.62,72,8,3.44,PK,1660864586
Shingū,33.7333,135.9833,81.64,62,42,3.33,JP,1660864589
Ribeira Grande,38.5167,-28.7,72.03,65,100,8.55,PT,1660864591
Lethem,3.3803,-59.7968,79.11,76,90,5.99,GY,1660864594
Nouadhibou,20.931,-17.0347,71.49,85,66,16.8,MR,1660864596
Naryan-Mar,67.6713,53.087,60.22,89,40,9.48,RU,1660864599
Rockhampton,-23.3833,150.5,60.69,67,0,0.0,AU,1660864601
Dingle,10.9995,122.6711,75.31,92,100,3.0,PH,1660864604
Ambon City,-3.6954,128.1814,77.14,88,20,3.44,ID,1660864606
Olafsvik,64.8945,-23.7142,51.35,79,100,11.54,IS,1660864609
Cidreira,-30.1811,-50.2056,50.97,62,84,13.82,BR,1660864611
Carnarvon,-24.8667,113.6333,61.77,41,100,18.37,AU,1660864614
Coro,11.4045,-69.6734,81.59,74,0,17.56,VE,1660864616
Hudson Bay,52.85,-102.3842,72.64,54,78,6.02,CA,1660864619
Novoil'insk,51.6829,108.7143,48.85,80,87,6.26,RU,1660864621
Simao,22.7886,100.9748,64.27,98,35,1.68,CN,1660864619
Vasai,19.47,72.8,80.69,88,25,13.69,IN,1660864626
Arauco,-37.2463,-73.3175,47.37,88,1,9.93,CL,1660864628
Zhuhai,22.2769,113.5678,82.18,94,40,4.61,CN,1660864631
Longonjo,-12.9067,15.2533,62.49,20,0,0.51,AO,1660864633
Bowen,-20.0167,148.2333,65.71,69,0,4.81,AU,1660864636
Antofagasta,-23.65,-70.4,56.48,74,37,5.35,CL,1660864610
Teya,60.3778,92.6267,45.97,98,46,1.81,RU,1660864641
