City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Coquimbo,-29.9533,-71.3436,56.93,82,0,0.0,CL,1660864644
Asău,46.4333,26.4,69.28,78,0,5.32,RO,1660864646
Ullapool,57.8987,-5.1604,57.34,85,25,12.28,GB,1660864649
Aswān,24.0934,32.907,89.85,18,1,9.95,EG,1660864652
Ancud,-41.8697,-73.8203,46.78,93,100,9.48,CL,1660864654
Geraldton,-28.7667,114.6,43.21,87,99,6.91,AU,1660864656
Mbuji-Mayi,-6.15,23.6,76.32,56,45,3.11,CD,1660864659
Sayanogorsk,53.0875,91.3997,46.78,73,96,3.24,RU,1660864662
Jacqueville,5.2052,-4.4146,73.72,88,29,8.34,CI,1660864664
Mayya,61.7333,130.2811,56.52,80,59,5.12,RU,1660864667
Pointe Michel,15.25,-61.3833,82.69,78,12,11.63,DM,1660864669
Griffith,41.5284,-87.4237,84.13,52,75,9.22,US,1660864672
Erzin,36.9559,36.2,75.38,88,13,0.89,TR,1660864674
Hirara,24.8,125.2833,86.27,70,20,14.97,JP,1660864677
Vao,-22.6667,167.4833,67.66,58,3,9.46,NC,1660864680
Creel,27.75,-107.6333,63.32,80,100,7.58,MX,1660864682
Muros,42.7762,-9.0603,63.84,79,3,8.37,ES,1660864684
Sisimiut,66.9395,-53.6735,41.68,80,33,6.22,GL,1660864687
Presidencia Roque Sáenz Peña,-26.7852,-60.4388,54.36,26,0,9.33,AR,1660864689
City of San Pedro,14.35,121.0167,80.35,90,100,4.92,PH,1660864676
Lingao,19.9103,109.6859,79.59,85,62,4.54,CN,1660864694
Neiafu,-18.65,-173.9833,77.68,61,40,11.5,TO,1660864696
Carutapera,-1.195,-46.02,77.83,84,50,7.67,BR,1660864699
Faya,18.3851,42.4509,68.11,77,75,4.99,SA,1660864701
Gorontalo,0.5412,123.0595,75.51,91,100,2.19,ID,1660864704
Chihuahua,28.5,-106.0,74.23,66,100,9.98,MX,1660864412
Nome,64.5011,-165.4064,50.07,81,100,12.66,US,1660864608
Sioux Lookout,50.1001,-91.917,68.07,77,75,6.91,CA,1660864710
Esim,4.8699,-2.2405,73.99,87,24,7.63,GH,1660864713
Villa Bruzual,9.3328,-69.1208,78.91,79,5,2.8,VE,1660864715
Zaprudnya,56.5667,37.4333,61.25,71,0,6.53,RU,1660864718
Iquitos,-3.7481,-73.2472,86.04,74,20,3.44,PE,1660864484
Zyryanka,65.75,150.85,64.78,56,21,13.4,RU,1660864723
Mount Gambier,-37.8333,140.7667,49.66,79,20,9.24,AU,1660864725
Santa Inês,-3.6667,-45.38,80.58,63,83,4.5,BR,1660864727
Los Llanos de Aridane,28.6585,-17.9182,69.55,83,100,13.8,ES,1660864730
Guácimo,10.2104,-83.6807,79.54,84,99,4.36,CR,1660864733
Comodoro Rivadavia,-45.8667,-67.5,55.26,47,0,23.02,AR,1660864735
Vostok,46.4856,135.8833,68.2,62,100,2.82,RU,1660864738
San Quintín,30.4833,-115.95,75.15,74,99,14.67,MX,1660864740
Birin,26.8865,88.0718,66.16,83,99,3.69,NP,1660864743
Alpena,45.0617,-83.4327,77.32,61,40,7.0,US,1660864745
Buraidah,26.326,43.975,88.25,10,11,9.01,SA,1660864748
Quatre Cocos,-20.2078,57.7625,70.09,79,2,12.86,MU,1660864751
Anadyr,64.75,177.4833,52.3,57,75,2.24,RU,1660864754
Oriximiná,-1.7656,-55.8661,83.66,43,7,2.86,BR,1660864756
Khatanga,71.9667,102.5,41.38,74,53,6.85,RU,1660864759
Port Moresby,-9.4431,147.1797,78.22,61,100,4.61,PG,1660864761
Perth,-31.9333,115.8333,54.09,88,75,5.75,AU,1660864764
Araouane,18.9048,-3.5265,86.83,50,71,4.09,ML,1660864766
Lufilufi,-13.8745,-171.5986,83.98,62,71,22.24,WS,1660864769
Sitka,57.0531,-135.33,62.49,77,75,4.61,US,1660864771
Darnah,32.767,22.6367,80.38,77,0,15.61,LY,1660864774
Tazmalt,36.3868,4.3989,71.01,78,0,4.38,DZ,1660864776
Khedbrahma,24.0333,73.05,75.4,96,60,8.1,IN,1660864782
Monrovia,6.3005,-10.7969,75.61,81,62,8.39,LR,1660864784
Torbay,47.6666,-52.7314,61.29,97,100,11.5,CA,1660864518
Alofi,-19.0595,-169.9187,76.89,53,40,23.02,NU,1660864789
Busko-Zdrój,50.4708,20.7188,69.1,70,3,7.45,PL,1660864791
Flinders,-34.5833,150.8552,61.38,76,100,4.0,AU,1660864794
Saposoa,-6.934,-76.7716,82.0,66,78,1.21,PE,1660864796
Provideniya,64.3833,-173.3,46.51,81,100,6.71,RU,1660864799
Port Augusta,-32.5,137.7667,49.75,77,1,2.1,AU,1660864801
Bubaque,11.2833,-15.8333,79.99,81,91,16.87,GW,1660864804
Kemijärvi,66.7131,27.4306,56.08,86,98,5.17,FI,1660864806
Esperance,-33.8667,121.9,53.22,77,38,16.13,AU,1660864809
Bambari,5.768,20.6757,70.56,93,98,2.62,CF,1660864811
Carupano,10.6678,-63.2585,79.29,86,8,8.48,VE,1660864814
Cadiz,36.5,-5.75,74.75,61,0,5.61,ES,1660864816
Portland,45.5234,-122.6762,88.39,51,100,3.44,US,1660864800
Kālīnagar,28.6167,80.1,79.61,75,5,5.03,IN,1660864821
Pekalongan,-6.8886,109.6753,76.01,78,39,4.16,ID,1660864824
Kiruna,67.8557,20.2251,50.92,76,100,5.75,SE,1660864826
Loandjili,-4.7561,11.8578,71.1,90,55,7.2,CG,1660864829
Jalu,29.0331,21.5482,82.58,54,0,5.41,LY,1660864831
Toora-Khem,52.4675,96.11,38.44,92,98,1.19,RU,1660864834
San Mateo del Mar,16.2,-95.0,87.12,65,99,12.06,MX,1660864836
Norman Wells,65.282,-126.8329,77.04,20,75,11.5,CA,1660864838
Macheng,31.1783,115.0319,85.6,71,99,3.36,CN,1660864841
Kiryat Gat,31.61,34.7642,75.88,100,0,1.88,IL,1660864843
Tokmak,47.2514,35.7058,71.85,69,52,3.56,UA,1660864846
Pueblo Nuevo,23.3833,-105.3833,65.08,84,99,3.47,MX,1660864849
Montijo,38.7067,-8.9739,76.42,51,0,13.8,PT,1660864852
Karaton,-6.3424,106.1045,71.64,91,11,2.55,ID,1660864854
Dhidhdhoo,6.8833,73.1,81.12,75,72,7.43,MV,1660864856
Ahipara,-35.1667,173.1667,63.55,95,100,19.57,NZ,1660864859
Osoyoos,49.0331,-119.4524,91.81,31,100,5.75,CA,1660864861
La Ronge,55.1001,-105.2842,79.05,34,40,5.75,CA,1660864864
Bayan,46.0833,127.4,65.77,99,100,6.6,CN,1660864866
Ust'-Ishim,57.6935,71.1665,48.02,84,100,6.13,RU,1660864869
Luanda,-8.8368,13.2343,68.0,83,23,6.91,AO,1660864796
Pandan,14.0453,124.1694,80.11,84,100,3.42,PH,1660864874
Vanimo,-2.6741,141.3028,78.8,86,42,3.36,PG,1660864876
Nadym,65.5333,72.5167,47.77,89,100,5.68,RU,1660864879
Mapiripán,2.8892,-72.1256,79.45,75,83,5.3,CO,1660864881
Rio Grande,-32.035,-52.0986,48.31,63,39,16.35,BR,1660864884
Mareeba,-17.0,145.4333,67.48,71,4,2.8,AU,1660864886
Marrakesh,31.6315,-8.0083,82.47,39,0,2.3,MA,1660864700
Solnechnyy,50.7214,136.6319,66.65,64,100,2.35,RU,1660864891
Rocha,-34.4833,-54.3333,41.81,81,9,10.27,UY,1660864893
Lavrentiya,65.5833,-171.0,42.21,88,100,7.78,RU,1660864896
Kyren,51.6828,102.1408,46.85,91,90,0.85,RU,1660864898
Ixtapa,20.7,-105.2,86.23,70,75,10.36,MX,1660864901
Adiaké,5.2863,-3.304,73.17,88,41,5.91,CI,1660864903
Klaksvík,62.2266,-6.589,52.72,90,86,29.04,FO,1660864906
Touros,-5.1989,-35.4608,75.83,75,47,17.07,BR,1660864908
Karratha,-20.7377,116.8463,65.68,30,61,20.71,AU,1660864911
Marsh Harbour,26.5412,-77.0636,85.42,67,51,5.12,BS,1660864913
Storforshei,66.4043,14.5233,60.58,63,100,9.22,NO,1660864915
Mahabalipuram,12.6264,80.1722,83.05,77,89,13.96,IN,1660864918
Itaituba,-4.2761,-55.9836,83.17,41,4,1.48,BR,1660864921
Deputatsky,69.3,139.9,49.59,80,79,3.85,RU,1660864923
Labytnangi,66.6572,66.4183,56.8,58,99,12.33,RU,1660864925
Ambilobe,-13.2,49.05,64.87,85,16,3.4,MG,1660864928
Gonzales,30.2385,-90.9201,86.99,73,0,4.61,US,1660864908
Uauá,-9.8414,-39.4817,72.54,52,8,14.97,BR,1660864933
Ayorou,14.7308,0.9174,90.55,48,26,8.1,NE,1660864935
Alice,27.7523,-98.0697,93.09,59,0,13.8,US,1660864938
Abhā,18.2164,42.5053,67.82,82,0,10.36,SA,1660864940
Boa Vista,2.8197,-60.6733,80.58,78,40,4.61,BR,1660864942
Manaus,-3.1019,-60.025,88.3,66,0,4.61,BR,1660864654
Poboru,44.6667,24.5,70.93,63,0,4.59,RO,1660864947
Port Blair,11.6667,92.75,81.45,81,100,16.69,IN,1660864950
San Cristobal,7.7669,-72.225,72.14,66,25,2.91,VE,1660864952
Kichera,55.9375,110.0997,46.98,96,100,7.11,RU,1660864955
Broken Hill,-31.95,141.4333,48.43,69,0,14.05,AU,1660864957
Felanitx,39.4696,3.1483,72.14,53,1,3.94,ES,1660864959
Kochi,9.9399,76.2602,80.02,86,100,6.35,IN,1660864962
Paamiut,61.994,-49.6678,43.0,82,0,15.57,GL,1660864964
Bauchi,10.5,10.0,69.15,96,100,3.33,NG,1660864967
Pohrebyshche,49.4864,29.2636,65.44,72,0,6.87,UA,1660864969
Lata,40.1629,-8.3327,61.95,53,3,2.82,PT,1660864972
Westport,41.1415,-73.3579,80.15,63,75,5.99,US,1660864795
Killybegs,54.6333,-8.45,57.15,78,55,20.45,IE,1660864976
Elliot,-31.3333,27.85,38.57,72,7,3.8,ZA,1660864979
Celestún,20.8667,-90.4,82.22,76,69,14.14,MX,1660864883
Zhangye,38.9342,100.4517,66.9,48,53,2.89,CN,1660864983
Kutum,14.2,24.6667,72.21,65,89,7.4,SD,1660864985
Vila Franca do Campo,37.7167,-25.4333,71.2,82,45,6.44,PT,1660864988
Dzaoudzi,-12.7887,45.2699,71.49,88,0,2.3,YT,1660864990
Ketchikan,55.3422,-131.6461,70.27,73,0,9.22,US,1660864993
Banda Aceh,5.5577,95.3222,78.93,83,100,7.43,ID,1660864995
Belyy Yar,53.6039,91.3903,42.85,83,59,2.24,RU,1660864997
Cleburne,32.3476,-97.3867,89.85,55,20,9.22,US,1660865000
Saint George,37.1041,-113.5841,92.25,36,0,18.41,US,1660865002
Durazno,-33.4131,-56.5006,41.23,61,11,8.3,UY,1660865004
Teknāf,20.8624,92.3058,78.35,91,91,17.85,BD,1660865007
Weatherford,32.7593,-97.7972,88.54,57,95,1.01,US,1660865009
Koutiala,12.3917,-5.4642,76.23,80,52,6.71,ML,1660865012
Shitanjing,39.2342,106.3439,69.84,34,78,3.98,CN,1660865014
Clarence Town,-32.5833,151.7833,62.82,63,100,3.0,AU,1660865016
Maricá,-22.9194,-42.8186,80.51,63,6,11.83,BR,1660865019
São Filipe,14.8961,-24.4956,77.97,76,31,5.88,CV,1660865021
Fortuna,40.5982,-124.1573,71.92,79,20,14.97,US,1660865023
Pilar,-9.5972,-35.9567,73.33,88,49,3.53,BR,1660865019
Kangaatsiaq,68.3065,-53.4641,39.74,87,100,6.15,GL,1660865028
Kjøpsvik,68.097,16.3742,53.47,68,86,9.55,NO,1660865030
Santa Isabel Rio Negro,-0.4139,-65.0192,78.22,84,95,2.37,BR,1660865032
Valparaíso,-33.0393,-71.6273,64.04,58,0,6.91,CL,1660865035
Isangel,-19.55,169.2667,75.33,78,20,10.98,VU,1660864968
Wadi Maliz,36.4681,8.5495,80.26,78,22,5.82,TN,1660865039
Yamada,39.4667,141.95,73.94,69,3,4.72,JP,1660865042
Laiyang,36.9758,120.7136,75.06,98,100,4.16,CN,1660865044
Soyo,-6.1349,12.3689,70.21,92,1,5.66,AO,1660865046
Tashtagol,52.7657,87.8894,45.19,99,100,4.21,RU,1660865049
Tchibanga,-2.85,11.0333,69.75,85,51,3.18,GA,1660865051
Tiznit Province,29.5833,-9.5,75.69,50,0,1.57,MA,1660865054
Atar,20.5169,-13.0499,88.84,43,100,5.03,MR,1660865056
Moosomin,50.1333,-101.6677,76.05,43,47,10.31,CA,1660865058
Seymchan,62.8833,152.4333,60.62,68,85,6.85,RU,1660865061
Charcas,23.1333,-101.1167,76.98,35,39,15.14,MX,1660865063
Fairview,40.8126,-73.999,85.55,41,0,13.8,US,1660865065
Ukiah,39.1502,-123.2078,104.43,20,0,10.36,US,1660865047
Coyhaique,-45.5752,-72.0662,46.35,81,100,4.61,CL,1660864958
Shimoda,34.6667,138.95,84.11,66,44,4.65,JP,1660865072
Ossora,59.2353,163.0719,49.89,85,100,2.53,RU,1660865075
Mahon,39.8885,4.2658,68.56,83,20,4.61,ES,1660865152
Qrendi,35.8347,14.4583,85.1,79,0,8.05,MT,1660865154
Talnakh,69.4865,88.3972,40.21,76,14,2.19,RU,1660865157
Trairi,-3.2778,-39.2689,78.51,78,98,10.63,BR,1660864934
Mīzan Teferī,6.9833,35.5833,60.84,96,89,2.71,ET,1660865161
Anking,30.5092,117.0506,86.65,66,75,4.27,CN,1660865164
Sola,-13.8833,167.55,79.75,78,20,15.95,VU,1660865166
Agirish,61.9247,63.0231,49.55,86,80,5.32,RU,1660865168
Santa Maria,-29.6842,-53.8069,47.5,57,75,4.61,BR,1660865171
Nishihara,26.1842,127.7558,86.05,79,40,14.97,JP,1660865173
Mil'kovo,54.7167,158.6167,58.69,68,33,2.13,RU,1660865175
Codrington,-38.2667,141.9667,45.77,85,11,11.16,AU,1660865178
Springbok,-29.6643,17.8865,44.94,87,79,5.28,ZA,1660865180
Nizwá,22.9333,57.5333,88.74,49,91,3.04,OM,1660865183
Shenjiamen,29.9576,122.298,81.68,90,53,21.54,CN,1660865185
Merano,46.6682,11.1595,72.57,95,76,3.09,IT,1660865187
Berdigestyakh,62.0989,126.6992,51.49,92,89,5.91,RU,1660865190
Sumkino,58.1108,68.3244,48.16,92,100,5.93,RU,1660865192
Odienné,9.51,-7.5692,71.74,94,5,2.55,CI,1660865194
Agüimes,27.9054,-15.4461,70.43,73,75,21.85,ES,1660865197
Bátonyterenye,47.9696,19.8408,73.94,51,66,3.02,HU,1660865199
Ust-Nera,64.5667,143.2,57.78,80,92,5.88,RU,1660865201
Boden,65.8252,21.6886,59.0,84,94,1.1,SE,1660865204
Santa Cruz de la Sierra,-17.8,-63.1667,69.85,26,75,18.41,BO,1660864914
Kumul,42.8,93.45,71.35,29,0,3.13,CN,1660865208
Ghanzi,-21.5667,21.7833,52.88,41,88,15.08,BW,1660865210
Mercedes,-34.6515,-59.4307,43.65,49,3,6.51,AR,1660865213
Adrar,20.5022,-10.0711,86.29,48,88,9.28,MR,1660865215
Arecibo,18.4724,-66.7157,85.26,81,100,3.0,PR,1660864967
Peruíbe,-24.32,-46.9983,68.58,79,76,9.17,BR,1660865220
Russell,32.3502,-85.1999,81.68,94,20,3.44,US,1660865222
Nicosia,35.1667,33.3667,78.49,78,0,4.61,CY,1660865224
Sinnamary,5.3833,-52.95,79.09,85,7,11.77,GF,1660865227
Pervomayskoye,43.919,46.7102,78.53,49,0,14.9,RU,1660865233
Zaysan,47.4667,84.8667,49.3,60,3,5.53,KZ,1660865236
Swan Hill,-35.3378,143.5544,47.26,84,2,10.02,AU,1660865238
Mitú,1.1983,-70.1733,80.06,71,98,1.9,CO,1660865240
Jacareacanga,-6.2222,-57.7528,84.92,36,5,0.45,BR,1660865243
Straumen,63.8709,11.2999,62.6,86,100,4.03,NO,1660865245
Gravdal,68.1214,13.5031,55.58,69,100,11.9,NO,1660865247
Bridlington,54.0831,-0.1919,66.88,87,100,14.12,GB,1660865250
Tessalit,20.1986,1.0114,84.31,42,74,4.85,ML,1660865252
Domoni,-12.2569,44.5319,73.72,83,31,4.76,KM,1660865255
College,64.8569,-147.8028,66.2,45,75,3.44,US,1660865257
Manicoré,-5.8092,-61.3003,82.35,89,0,1.14,BR,1660865259
Clovis,36.8252,-119.7029,106.61,22,20,6.91,US,1660865092
Margate,51.3813,1.3862,63.88,85,47,3.0,GB,1660865264
Nantucket,41.2835,-70.0995,75.34,78,0,14.97,US,1660865266
Constitución,-35.3333,-72.4167,50.74,79,0,10.98,CL,1660865269
Chimoré,-16.9833,-65.1333,63.73,91,100,2.13,BO,1660865271
Viet Tri,21.3019,105.4308,80.55,94,94,0.76,VN,1660865048
Putai,46.6579,1.9863,65.59,68,58,7.61,FR,1660865275
Luba,3.4568,8.5547,76.8,85,100,6.85,GQ,1660865278
Muyezerskiy,63.9333,31.65,63.9,92,100,4.43,RU,1660865280
Bhawānipatna,19.9,83.1667,75.06,97,100,2.15,IN,1660865283
Windhoek,-22.5594,17.0832,47.1,36,58,5.75,NA,1660865099
Chubbuck,42.9208,-112.4661,95.14,21,40,14.97,US,1660865287
Pacific Grove,36.6177,-121.9166,81.25,85,0,12.66,US,1660865289
Saint-Augustin,51.226,-58.6502,58.19,95,100,12.21,CA,1660865292
Lompoc,34.6391,-120.4579,88.02,71,0,17.27,US,1660865162
Poplar Bluff,36.757,-90.3929,85.17,51,0,5.01,US,1660865296
Sasebo,33.1592,129.7228,82.38,85,62,4.27,JP,1660865299
Ulverstone,-41.15,146.1667,51.21,70,5,8.28,AU,1660865301
Witu,-2.3889,40.4382,73.56,86,4,10.49,KE,1660865303
Aného,6.2333,1.6,75.18,86,100,12.48,TG,1660865306
Si Racha,13.1737,100.9311,86.13,78,90,7.2,TH,1660865308
Diplo,24.4667,69.584,80.22,90,96,12.03,PK,1660865310
Lesnoye,58.2841,35.5158,61.36,74,18,4.88,RU,1660865313
Limbe,4.0242,9.2149,75.27,87,100,6.78,CM,1660865315
Taebla,58.9547,23.7419,70.99,75,97,6.64,EE,1660865317
Winburg,-28.518,27.0093,45.43,37,40,11.52,ZA,1660865320
Kâhta,37.7855,38.6237,83.57,37,0,1.97,TR,1660865322
Albion,42.2431,-84.753,78.84,55,0,6.91,US,1660865324
Bilibino,68.0546,166.4372,55.08,38,0,3.76,RU,1660865327
Pauini,-7.7136,-66.9764,80.44,69,82,2.04,BR,1660865329
Bonavista,48.6499,-53.1147,59.23,96,100,16.31,CA,1660865331
Yatou,37.15,122.3833,77.81,96,100,14.76,CN,1660865334
Piet Retief,-27.0071,30.8132,49.48,83,85,4.21,ZA,1660865336
Leningradskiy,69.3833,178.4167,39.85,76,38,13.42,RU,1660865339
Belmonte,-15.8631,-38.8828,72.07,83,94,11.03,BR,1660865341
Bondo,3.8146,23.6866,67.93,99,89,1.63,CD,1660865343
Necochea,-38.5473,-58.7368,41.49,66,9,10.25,AR,1660865346
Alugan,12.2188,125.4808,78.75,86,100,3.18,PH,1660865348
Riyadh,24.6877,46.7219,89.74,12,63,9.91,SA,1660865241
Henties Bay,-22.116,14.2845,52.79,93,79,10.85,NA,1660865353
Kavaratti,10.5669,72.642,81.48,77,88,10.4,IN,1660865355
Makat,47.6469,53.3463,79.66,28,30,12.37,KZ,1660865357
Concepción del Oro,24.6333,-101.4167,72.91,41,87,5.21,MX,1660865360
Mahon,39.8885,4.2658,68.56,83,20,4.61,ES,1660865362
Belaya Gora,68.5333,146.4167,62.78,58,5,11.97,RU,1660865365
Zhangaözen,43.3,52.8,75.67,22,0,13.85,KZ,1660865367
Machilipatnam,16.1667,81.1333,82.13,79,100,7.27,IN,1660865324
Bardsīr,29.9227,56.5743,67.26,14,5,2.84,IR,1660865371
Kidal,18.4411,1.4078,89.98,35,79,11.9,ML,1660865374
Kungurtug,50.5994,97.5228,37.81,93,69,1.79,RU,1660865376
Verkhoyansk,67.5447,133.385,59.11,73,93,2.51,RU,1660865378
Demyansk,57.643,32.466,66.16,70,50,5.93,RU,1660865381
Puerto Nariño,-3.7703,-70.3831,80.2,73,99,1.01,CO,1660865383
Takoradze,4.8845,-1.7554,73.96,86,32,9.33,GH,1660865386
Sosnovo-Ozerskoye,52.5249,111.5418,47.61,67,100,12.97,RU,1660865388
Broome,42.2506,-75.833,74.86,72,75,6.91,US,1660865390
Fairbanks,64.8378,-147.7164,66.22,45,75,3.44,US,1660865393
Beloha,-25.1667,45.05,60.87,69,7,5.32,MG,1660865395
Saint-Pierre,-21.3393,55.4781,70.92,71,40,5.75,RE,1660865397
Carbondale,37.7273,-89.2168,85.05,55,40,5.75,US,1660865400
Daru,-9.0763,143.2092,77.83,66,100,13.02,PG,1660865402
